Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,"$20,764.65","$20,059.21","$33,426.17","$37,716.45","$40,659.67","$36,995.11","$35,877.87","$38,364.94","$34,844.50","$35,420.88","$35,222.76",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,"$1,921.43","$3,448.45","$4,487.50","$4,816.60","$5,119.34","$4,489.27","$4,902.03","$5,332.47","$5,445.89","$5,226.22","$5,106.08",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,"$1,312.28","$1,763.17","$2,719.82","$3,022.54","$3,797.41","$4,026.77","$4,370.72","$4,665.95","$4,896.69","$5,200.29","$5,422.57",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,"$25,123.63","$37,299.64","$34,075.98","$34,033.70","$37,865.62","$39,322.60","$42,909.23","$46,203.71","$46,679.27","$38,633.71","$36,194.42",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,"$1,647.46","$1,229.00","$5,291.58","$6,771.41","$8,513.56","$7,165.28","$9,070.65","$11,357.95","$12,120.31","$13,611.54","$12,601.62",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,$365.62,$408.98,$711.72,$857.93,$938.57,$942.74,$991.85,"$1,012.88","$1,184.92","$1,257.20","$1,358.26",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,$608.95,$279.62,$543.11,$721.77,$966.39,$871.22,$880.04,"$1,123.88","$1,177.97","$1,282.44","$1,268.86",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,  ..  ,$299.56,$537.85,$629.28,$742.94,$735.41,$782.69,$879.15,$946.48,"$1,024.61","$1,094.58",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,$392.40,$799.86,"$1,110.46","$1,277.15","$1,371.89","$1,264.10","$1,465.50","$1,645.81","$1,641.20","$1,556.53","$1,509.52",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,"$5,112.05","$9,223.76","$12,767.89","$13,556.89","$14,378.88","$13,707.12","$13,226.95","$13,737.32","$13,642.50","$14,498.63","$15,510.39",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,"$6,642.45","$11,947.58","$20,917.03","$23,101.51","$20,474.89","$18,338.71","$22,151.21","$24,155.83","$24,453.97","$25,997.88","$27,970.50",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,KSV,  ..  ,"$1,087.76","$2,371.66","$2,788.48","$3,254.86","$3,209.69","$3,283.21","$3,736.84","$3,600.89","$3,890.30","$4,051.65",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,"$8,950.60","$19,545.19","$42,498.74","$45,159.34","$54,484.30","$36,754.95","$37,725.14","$47,551.38","$50,903.90","$48,463.15","$43,593.70",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,$203.76,$324.02,$591.36,$710.98,$900.50,$947.96,"$1,147.10","$1,300.98","$1,445.87","$1,700.99","$1,793.47",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,"$1,050.12","$5,334.88","$5,372.48","$6,015.80","$7,015.61","$8,403.11","$8,763.80","$9,132.43","$9,729.28","$9,870.49","$10,057.89",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,$182.80,$182.94,$178.45,$209.81,$231.44,$302.28,$326.60,$378.81,$414.19,$453.34,$457.86,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,"$6,571.66","$7,170.38","$9,304.31","$11,219.43","$14,231.60","$10,151.65","$11,933.78","$5,517.78","$13,035.19","$10,454.79","$6,573.39",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,"$2,874.46","$4,975.47","$6,410.20","$6,896.09","$6,915.42","$6,774.13","$7,043.51","$7,195.67","$7,248.23","$7,319.52","$7,647.53",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,"$49,452.39","$74,631.65","$113,830.03","$129,870.19","$142,254.69","$125,107.67","$140,101.97","$157,092.97","$149,160.76",  ..  ,  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,$472.09,$854.93,"$1,424.10","$1,614.36","$2,010.96","$2,057.03","$2,746.61","$3,128.69","$3,350.69","$3,611.34","$3,794.89",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,$340.89,$415.50,$736.39,$816.85,$826.83,$859.83,"$1,087.98","$1,241.21","$1,158.80","$1,064.83","$1,034.19",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,  ..  ,"$3,297.35","$9,240.64","$12,297.92","$14,961.57","$11,837.39","$11,988.76","$14,367.21","$14,342.52","$15,692.01","$16,489.73",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,"$34,990.46","$48,992.31","$88,680.24","$104,841.44","$112,851.46","$101,221.81","$103,267.28","$113,239.56","$105,447.09","$113,726.64","$116,612.88",  ..  
